,submission_id,topic_champion
584,nyt5kc,aatrox
584,nyt5kc,ahri
585,nyt49q,kassadin
585,nyt49q,orianna
586,nyt1d6,aatrox
586,nyt1d6,ahri
587,nyszij,aatrox
587,nyszij,ahri
588,nysvka,kai'sa
589,nysu35,irelia
590,nystxr,aatrox
590,nystxr,ahri
591,nysscc,aatrox
591,nysscc,ahri
592,nysrzx,akali
592,nysrzx,karma
593,nysqsa,viego
594,nysi02,aatrox
594,nysi02,ahri
595,nysgbv,sona
595,nysgbv,yasuo
596,nysg68,tryndamere
597,nysg0f,aatrox
597,nysg0f,ahri
598,nysfeh,aatrox
598,nysfeh,ahri
599,nysess,aatrox
599,nysess,ahri
600,nysduv,brand
601,nysd39,lee sin
602,nysb5v,diana
603,nysagy,zed
604,nys5nb,aatrox
604,nys5nb,ahri
605,nys4rl,aatrox
605,nys4rl,ahri
606,nys2i0,kayn
607,nys1s8,viego
608,nyrzh6,veigar
609,nyrtl8,kassadin
610,nyrt1c,aatrox
610,nyrt1c,ahri
611,nyrpf5,kayn
612,nyropm,aatrox
612,nyropm,ahri
613,nyrjx5,aatrox
613,nyrjx5,twisted fate
614,nyrheo,aatrox
614,nyrheo,ahri
615,nyrdzf,aatrox
615,nyrdzf,ahri
616,nyr7ol,aatrox
616,nyr7ol,ahri
617,nyr6x1,aatrox
617,nyr6x1,ahri
618,nyr55a,aatrox
618,nyr55a,ahri
619,nyr1vx,aatrox
619,nyr1vx,ahri
620,nyr1qi,aatrox
620,nyr1qi,ahri
621,nyr171,aatrox
621,nyr171,ahri
622,nyr0b2,akali
622,nyr0b2,aurelion sol
623,nyr09v,aatrox
623,nyr09v,ahri
624,nyr055,aatrox
624,nyr055,ahri
625,nyqt4l,maokai
626,nyqpb1,aatrox
626,nyqpb1,ahri
627,nyqo7u,trundle
628,nyqo1v,aatrox
628,nyqo1v,ahri
629,nyqnri,aatrox
629,nyqnri,ahri
630,nyqmue,gwen
631,nyqlyu,aatrox
631,nyqlyu,ahri
632,nyqeu2,aatrox
632,nyqeu2,ahri
633,nyq5qz,nautilus
633,nyq5qz,nunu and willump
634,nyq4xn,aatrox
634,nyq4xn,ahri
635,nypyu2,veigar
636,nypwm9,aatrox
636,nypwm9,ahri
637,nyph33,tahm kench
638,nyp5y0,mordekaiser
639,nyp45h,kassadin
640,nyoolh,aatrox
640,nyoolh,ahri
641,nyomfw,aatrox
641,nyomfw,ahri
642,nyojbu,lulu
643,nyohsi,aatrox
643,nyohsi,ahri
644,nyoebl,bard
644,nyoebl,leona
645,nyoe1s,thresh
646,nyo70j,lee sin
647,nynmnw,aatrox
647,nynmnw,ahri
648,nynib2,mordekaiser
648,nynib2,yone
649,nyn3y5,aatrox
649,nyn3y5,ahri
650,nyn2n7,aatrox
650,nyn2n7,ahri
651,nyn065,aatrox
651,nyn065,ahri
652,nymxkz,riven
653,nymwce,aatrox
653,nymwce,ahri
